ds,y
2019-12-02,1180.073097
2019-12-03,1185.302738
2019-12-04,1190.342408
2019-12-05,1193.233086
2019-12-06,1190.924085
2019-12-09,1189.399672
2019-12-10,1191.070165
2019-12-11,1192.070122
2019-12-12,1194.86904
2019-12-13,1188.697459
2019-12-16,1170.954775
2019-12-17,1172.8819
